RMSE,NRMSE,Pearson,Kendall,Spearman
"{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(0.7825512341752995)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(1.1838442373963305)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(0.4851275852006716)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(0.23482073489587602)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(0.3896575813995383)}"
"{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.2281197312335016)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.8785399288768135)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.45061222118601285)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.31202770457479856)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.45655689922915116)}"
"{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Watermark-SMT100', 'Value': np.float64(0.3849732051776885)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Watermark-SMT100', 'Value': np.float64(1.4465728862754654)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.7122752816067031)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.6087568191289817)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.782162021834715)}"
"{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(1.0973497108896262)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(1.660071666763487)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(-0.8394825261834807)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(-0.7720202472678321)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(-0.9079834443464123)}"
"{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(7.405567414489959)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(27.827113381414996)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(-0.3382138650239966)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(-0.24003206357022772)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(-0.3568243063314356)}"
"{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(7.6553136157266355)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(11.580965582388318)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(-0.3212265623720789)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(-0.22388991672748806)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(-0.3461445730897827)}"
"{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.45972912770984437)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.6954786534534094)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.6857225321184698)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.5164109045631543)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.7001236914037585)}"
"{'Tree': 2, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.02456998334008111)}","{'Tree': 2, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.9978916695937647)}","{'Tree': 2, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.0649015851529742)}","{'Tree': 2, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.044781421579881846)}","{'Tree': 2, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.14305385446576924)}"
"{'Tree': 2, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.024455379743423284)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.9174217487631561)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(-0.3979162410562498)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(-0.29186704959746534)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(-0.42357628694489313)}"
"{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(0.2632239636693906)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(0.9025200963298092)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.5832161421048562)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.4258357278296191)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.5981488440998302)}"
